Fid, ludb_impl_delay, sfa_fifo_delay
1423, 6.521620098212578, 7.170873766970325
898, 2.4031119771721414, 3.7424344466341886
2569, 4.68734209295552, 5.7748606142305325
2863, 4.680217464846228, 5.098983478711798
1588, 3.4439951389360446, 3.7851461140963183
1222, 4.837040662512424, 5.093862433628176
889, 5.858019805048914, 8.899770069349204
2500, 6.482176410588726, 7.843459771843608
684, 5.380648122126514, 5.975448689165374
22, 2.750125189819565, 3.3031683237332423
1100, 5.88174958895428, 6.688430028075287
1113, 2.494979366597682, 2.9794612711471222
829, 6.3081109372859245, 7.273484056296829
1204, 5.518088741990469, 6.082560616124885
2733, 6.443025525668342, 7.241758715283605
2586, 7.337924457583535, 8.20529377753779
2921, 6.5463735111447265, 7.340196253163239
427, 5.285393309424578, 5.796162840897177
2388, 9.696307230898473, 11.191766167446401
636, 6.137368210652512, 6.973750571350872
500, 4.275290896658902, 4.762963457752382
2244, 5.480826659011077, 9.25205372246102
1711, 7.391129047048498, 8.236566849747335
1179, 6.991283646474078, 8.806855734092318
2544, 4.3759605763775555, 4.647323014134213
921, 5.506600921276942, 5.993350386563564
401, 4.063827678920466, 4.7215347346604934
2202, 5.919447753569583, 6.880899033007546
2180, 5.661121237210129, 6.017292924902554
595, 4.17699156720668, 4.555229205698238
1422, 3.3495447012827153, 3.752289468211532
2241, 8.615241350859261, 10.428593678601636
1514, 3.5093838961669506, 3.525528707591965
2759, 6.981799687513705, 7.720098869713582
1767, 5.13329347702177, 5.6193163116732805
379, 5.574030012351419, 6.171472114985939
1305, 5.730643683625171, 8.1328838686699
614, 0.9, 1.0678051511758118
9, 5.236190709316174, 6.058368055707621
123, 7.236292652456148, 10.36767023933663
1228, 4.27715434210106, 4.81026020957678
742, 3.687566837765886, 3.992807389160145
643, 6.611854017216676, 7.0192822537596875
2704, 6.011062038971862, 6.6730910885202865
2591, 6.004641284181007, 7.798146140832504
1236, 6.015153550859327, 7.12672525966609
1219, 4.686054033610441, 5.0840296481685945
2631, 2.4922620292207793, 2.8995697215284717
2327, 10.01022892311192, 16.013743743432826
1548, 6.475065222450813, 8.243340300708752
2856, 3.9725336288522097, 4.185693564092484
1483, 6.381024635181059, 7.289058735340382
2924, 8.664970068393163, 12.654427806578054
2661, 6.074318212543443, 6.733365844538859
2283, 8.253110012662344, 9.163271735765061
1885, 6.262172431949551, 8.113002215434513
2470, 5.09797841888828, 5.532588666715344
968, 8.828963833832619, 10.170471749154986
722, 6.13223819091626, 7.098438046469481
73, 5.793391267225167, 7.129465830511709
2836, 5.311579309951339, 7.655980151083072
755, 6.823067003165885, 10.172671626441172
1421, 4.1858486688540815, 4.937124184627519
523, 7.1057249597652605, 7.714730768154919
2440, 5.224204716999366, 5.6885797404720835
1861, 6.652599661304776, 7.266416075095283
2456, 5.547987854635124, 6.765078301305364
1506, 3.2668714194589525, 3.638283452592799
1059, 8.898706679862975, 14.456638656993558
1025, 6.013750929570803, 7.696185317966469
830, 5.948500957182599, 6.647114691933768
579, 5.717885678929257, 6.195635249933569
1744, 4.020501689786691, 4.610979907803178
1376, 5.286060625242577, 6.016621041079425
167, 0.9, 1.2037499999999999
1695, 6.843286842321849, 7.686403103264792
661, 6.012149209203016, 6.484348373637339
2829, 4.681027236134325, 5.195179777920857
1006, 5.093906154945606, 5.540102173012598
2215, 4.713940028398067, 5.077098228361408
2433, 5.929171895616777, 6.343179571268203
1361, 7.16745761795748, 7.8229241517974994
2822, 5.7337459630614545, 7.4369426468322395
2454, 7.337788612672334, 7.927478326440965
364, 6.8292874415682645, 8.423168094960829
1041, 5.00942793435112, 5.5040482340340136
578, 7.386457761080572, 9.47114334039739
1835, 1.645945887590233, 1.981888290831786
835, 6.503576473874254, 7.467079543885624
1791, 5.258260370602474, 5.802853127138747
2545, 7.08461603343644, 8.809392243699886
2540, 5.784943968366883, 6.074653155531321
1457, 3.8439117297629677, 4.00532882794987
508, 7.316304488572471, 8.290354865083314
2928, 6.319993236458389, 6.807434140606767
368, 6.663832208542317, 9.298375465455765
1206, 4.246180782514091, 4.664600354830413
24, 6.466790511035699, 7.058638574397379
1166, 4.349501017648894, 4.870826739706172
2908, 5.000076894261569, 5.418350609462341
425, 2.1953347258064517, 3.0532945673076926
2262, 5.651490601247158, 6.2216452526337065
185, 5.078485299435614, 5.6592929192373695
45, 4.686054033610441, 5.0840296481685945
953, 8.671176268301323, 9.616203475236151
174, 8.132599483233315, 10.947107744336854
1176, 3.950005306178497, 4.611127544137275
1354, 5.142612151106323, 5.519910061673279
1194, 4.700991362761721, 5.079034030289541
959, 4.230316416749173, 4.782333949275716
2818, 6.920069023911904, 8.480029986774372
2013, 6.570013121648703, 7.196042778815304
943, 1.3724999999999998, 3.075
2175, 9.272416635771183, 9.876307158697806
1360, 6.712228763962082, 7.531833599100582
2355, 6.867561839394416, 9.316850024769742
2832, 2.2781477367631826, 2.3370988408588964
2953, 8.508280439587208, 10.50195703919515
2073, 3.765490765971299, 4.2853371080976
902, 6.422643428828423, 6.9039949649126715
2739, 6.2185907160979985, 6.5166671911788985
365, 5.512136883603974, 6.037893307478618
2443, 5.062650945430789, 7.509259717718621
55, 5.053583093090653, 5.552818557238444
2688, 4.271396896438547, 4.867592604661884
2250, 7.627015241576433, 10.249825893321633
277, 5.877638427843903, 6.594563988359186
2552, 2.883162042602687, 3.27256036346174
1813, 8.662489435153589, 12.672808505598317
1508, 7.951489008649743, 8.799913124284632
2318, 4.410383134772928, 4.851632646263942
109, 4.57835912039955, 6.669061302973099
1925, 5.265397500263896, 6.125510270978793
1591, 2.7146264464285714, 4.349065178571429
261, 4.9385696998796895, 5.139084689291039
480, 0.9, 1.1740601503759398
357, 3.0632024196685346, 3.4646152030079964
2402, 5.3540715389881, 5.734651558452421
1663, 8.031589992336407, 8.911575849308855
2507, 6.58941875237874, 11.378069827164694
1733, 5.219342116080365, 5.680174318649582
1358, 4.231736348958968, 4.76355485191733
757, 5.757981451821218, 7.232098328279458
2682, 7.777479358764223, 9.824858556434636
849, 8.95493669734863, 9.956410726295708
2479, 5.962976012590452, 7.269244447432413
2676, 3.9222682419204933, 4.154713456596421
2485, 6.653986411450819, 7.350873435292184
651, 4.600112582046651, 5.138646340829064
285, 3.648289526196226, 4.050236143460643
2927, 6.261324250353422, 6.8842101631469745
649, 0.9, 1.2681818181818185
