Fid, ludb_impl_delay, sfa_fifo_delay
2524, 3.528526338001489, 3.82801923132482
2020, 3.4268934738370316, 4.311342859729171
1151, 0.9507968484848484, 1.0699860376740375
165, 4.229203636609087, 5.287019020394803
832, 2.9822595056226566, 4.180055500224299
1736, 3.495160564499362, 3.784772560653846
1801, 5.643591789945969, 6.450054695957175
2123, 2.377802160522303, 2.5046938994858388
2088, 3.1892819310442313, 3.871143097953954
423, 3.508802515004233, 5.5249992869146745
1026, 3.433833125988202, 3.525775212725
2845, 2.3686963650072164, 2.471192756080331
2666, 4.446249650790534, 4.995696316091794
172, 4.008725670025751, 4.9193340140030495
2750, 3.607923914522944, 4.230391850626271
1465, 6.3856077955225015, 6.815372225186268
2915, 3.0174842780635287, 3.213138836348508
713, 4.766106214490923, 5.0791803446771455
631, 3.22990619963924, 3.675745377386952
1997, 3.961906662508706, 5.734958634387186
865, 4.260142781164323, 5.870344849288329
1446, 4.669345727442562, 5.188919268617489
529, 0.7, 0.7879487179487179
2052, 3.4140769662224644, 4.081458681083625
204, 4.437094703761672, 5.17374407674903
151, 4.901397655615344, 5.409870129755381
1551, 4.553182299299319, 5.222590672613409
1337, 2.0196339224234525, 2.077664737281727
2737, 2.354946381726263, 2.4950808338000234
688, 4.460750973851402, 5.368029132863112
1138, 5.2456172228997335, 7.751738743909664
223, 4.688200472550204, 5.77172600002026
976, 4.245621366039185, 4.792394719247309
1142, 5.654027015682803, 6.345161609778966
2210, 6.094592513806736, 9.49062190896574
909, 3.649295140524208, 4.189548515075523
192, 3.2814349279889696, 3.4260805848951614
522, 3.0870460815577183, 3.247403149559778
1063, 3.651439105592889, 4.02769664293082
1937, 2.240289483261858, 2.251648862712216
1086, 1.5463357503510686, 1.6936199095022624
2616, 4.501673003175138, 5.402838094921742
2591, 4.058364903603164, 5.085986508747808
1857, 4.657303838296255, 5.111669533833392
155, 3.688728980685925, 6.075102874403016
1807, 4.031403846310604, 4.125204364258408
2761, 2.6025765122920546, 2.746972756084549
2329, 4.715997959045974, 5.315262719233235
2396, 5.674245480884779, 6.431029131997676
2417, 2.912117809721506, 4.673614063764935
636, 4.043593389078648, 4.590531556598319
2912, 4.086688256957335, 4.9078888066241415
2893, 4.877400364433665, 5.3133214388181615
2758, 4.068958424442251, 5.833461607742969
2367, 3.650342014774576, 3.8421900844263432
2347, 4.8878188714683, 7.219480818923652
1846, 3.1122230048036057, 4.157677624363156
2379, 3.453524498936178, 3.624848695502917
2281, 3.570565627906478, 3.852917963359409
564, 2.434624112919558, 2.59020298826687
1899, 3.1349167889230247, 3.2753260663219392
51, 1.8237154084583507, 1.9473899723546972
1199, 3.509351496098761, 3.6794884469671394
2018, 2.993829595111657, 3.4537607585057732
2389, 3.768722784412594, 4.421940613135139
289, 4.908491881613983, 6.531506686415814
2410, 2.500891743571545, 2.6523673640776373
1224, 3.3868575824550584, 3.6100856958472947
2949, 2.8240509607785667, 3.075082117994985
143, 3.287630680804055, 4.000691205610962
1111, 4.66725648315737, 4.9191407412169665
2457, 2.2637238826644106, 2.4001670659679943
2306, 4.599126158286434, 7.207892250259533
73, 3.75096134193549, 4.680298674475224
2580, 3.6175757286192405, 5.013786996670827
2825, 5.760177234615554, 6.345214560979374
2165, 1.5542507840291528, 1.6827456439393937
504, 3.079866971449364, 4.1885881400025395
124, 3.2881997577466446, 3.494878706950669
1105, 3.693575437049006, 4.114301575589397
2422, 3.45017239055156, 3.8912668901918823
761, 4.843965564782032, 5.450000106235974
1966, 4.701562353586021, 4.901012768441511
344, 5.268158661350628, 8.461158679730376
2881, 2.3255981438902924, 2.4508257761304564
284, 4.94166715276724, 5.751969106253086
1349, 5.134139221700568, 6.063985776926595
2812, 3.2152057476178584, 3.4027870291356512
2550, 3.3678988182724106, 3.497708299621365
359, 4.4420562317725, 5.107469860021096
734, 3.16105533778838, 3.827004192453259
293, 3.0232727843892726, 4.115818934185381
2321, 4.24257074572543, 5.584856656366881
2638, 3.279976500629009, 3.402779499647688
1814, 4.384123967486513, 5.16678969423684
709, 4.716566343626577, 5.128262022114486
1115, 4.925776320996886, 6.34773678887416
2859, 3.5122267181110898, 3.673568936107338
1070, 4.39714582586694, 4.6638173819546465
386, 4.432370690581602, 4.770704263359409
1957, 3.8114381363989547, 4.6383569787479155
1336, 3.972733369468236, 5.24880670381371
741, 3.7403365224053093, 4.321924186834146
815, 4.912330775015449, 5.1682042856943635
2132, 2.583824316480791, 2.7632159962041793
1989, 3.519571190231211, 3.6535759864069965
439, 3.6773759625294944, 3.9464615218682764
2399, 2.30951086293462, 3.0068737575757574
1542, 5.1604269116778365, 5.681686112673163
563, 4.615091062559764, 5.59218483647469
760, 4.385236456605946, 5.149055026451277
669, 2.988126069577829, 4.714988144459217
1569, 3.7694031116354823, 3.9012392684032142
1259, 3.7019331867550305, 4.144855267990588
1297, 3.373057193171446, 3.5042914495715722
1486, 3.201605801578494, 3.3869239920225653
594, 3.357158314620553, 3.639841830319605
2119, 2.244912887879335, 2.3209907701072243
429, 5.733327926089475, 7.9956277636458735
1872, 6.226142039007519, 9.463661101014434
2910, 3.065003533347831, 3.8077576216043467
2779, 4.720076577196281, 5.452768543304023
2942, 3.5854398870357596, 4.846543412556009
115, 3.3473538634237583, 3.4776260731269732
2577, 6.527449282549948, 6.975415706000325
1560, 3.248582695836677, 4.037361051949458
1778, 7.030058549139256, 8.948447641425938
956, 3.103104589858241, 3.2537847350230917
702, 4.114954125375563, 4.817580527105471
875, 3.4072766162316244, 3.6363574005161627
1824, 3.17509716457991, 4.141703694288389
814, 4.057043571485815, 4.693956825451511
1398, 4.793878751882722, 5.018911767870057
541, 3.075529806302555, 3.5383073465600496
2852, 3.7082795557447423, 3.8698456822918312
485, 3.619417192109451, 4.812795155039377
607, 2.2891301176592576, 2.4214747568768744
1803, 3.0404616675872793, 3.36027100012204
306, 4.474092175818387, 5.825681476027995
2008, 3.676730524470791, 3.858928742721398
374, 2.2792072156012617, 2.33400200195419
1004, 3.496992376993281, 4.488457721752191
2276, 4.080854031306307, 4.331669574284329
109, 3.0815958425634546, 4.225874604545897
396, 4.856001833822757, 5.306926586865991
1611, 2.0056339224234523, 2.1305515460374873
2443, 3.2831577339283795, 4.683311393340499
1345, 0.9286666666666665, 1.117128205128205
925, 3.4764033782721953, 3.550373535951674
