Fid, deborah_integration_delay 
321, Infinity
1744, Infinity
37, Infinity
736, Infinity
1324, Infinity
859, Infinity
1173, Infinity
2536, Infinity
2525, Infinity
2328, Infinity
763, Infinity
1925, Infinity
2736, 2.073913
561, Infinity
1092, Infinity
1280, Infinity
1669, Infinity
689, Infinity
470, Infinity
263, Infinity
643, Infinity
1930, Infinity
1665, Infinity
514, Infinity
11, Infinity
2589, Infinity
1348, Infinity
225, Infinity
1932, Infinity
28, Infinity
789, Infinity
1741, Infinity
2147, Infinity
1287, Infinity
1866, Infinity
50, Infinity
955, Infinity
66, Infinity
1318, Infinity
2459, Infinity
88, Infinity
980, Infinity
504, Infinity
233, Infinity
2633, Infinity
1520, Infinity
1222, Infinity
1699, Infinity
375, Infinity
2458, Infinity
1451, Infinity
366, Infinity
593, Infinity
2701, Infinity
123, Infinity
8, Infinity
1594, Infinity
880, Infinity
307, Infinity
2912, Infinity
1802, Infinity
2465, Infinity
2279, Infinity
2468, Infinity
606, Infinity
948, Infinity
680, Infinity
2610, Infinity
166, Infinity
2063, Infinity
1652, Infinity
1625, Infinity
613, Infinity
2333, Infinity
2173, Infinity
2557, Infinity
2728, Infinity
1549, Infinity
1945, Infinity
869, Infinity
1444, Infinity
444, Infinity
1627, Infinity
754, Infinity
770, Infinity
1944, Infinity
962, Infinity
75, Infinity
2016, Infinity
199, Infinity
2801, Infinity
751, Infinity
2732, Infinity
2803, Infinity
356, Infinity
1270, Infinity
187, Infinity
1131, Infinity
2181, Infinity
692, Infinity
928, Infinity
1645, Infinity
1754, Infinity
1918, Infinity
289, Infinity
698, Infinity
1317, Infinity
1486, Infinity
1013, Infinity
2636, Infinity
1861, Infinity
429, Infinity
889, Infinity
1979, Infinity
1186, Infinity
982, Infinity
90, Infinity
1012, Infinity
2342, Infinity
286, Infinity
1079, Infinity
875, Infinity
425, Infinity
637, Infinity
156, Infinity
911, Infinity
1897, Infinity
591, Infinity
407, Infinity
467, Infinity
677, Infinity
1733, Infinity
1473, Infinity
1202, Infinity
2055, Infinity
10, Infinity
2205, Infinity
1875, Infinity
1562, Infinity
534, Infinity
2398, Infinity
895, Infinity
2524, Infinity
2428, Infinity
1739, Infinity
1153, Infinity
2074, Infinity
1342, Infinity
708, Infinity
1011, Infinity
2670, Infinity
2954, Infinity
1323, Infinity
1532, Infinity
807, Infinity
30, Infinity
958, Infinity
1074, Infinity
2235, Infinity
2025, Infinity
1479, Infinity
990, Infinity
1982, Infinity
583, Infinity
2667, Infinity
1598, Infinity
1976, Infinity
1411, Infinity
1961, Infinity
1513, Infinity
2686, Infinity
466, Infinity
2654, Infinity
1894, 1.8
1234, Infinity
2920, Infinity
1984, Infinity
1659, Infinity
922, 3.15
404, 1.468421
1062, Infinity
1094, Infinity
1708, Infinity
2130, Infinity
1282, Infinity
2192, Infinity
2827, Infinity
2157, Infinity
596, Infinity
410, Infinity
2248, Infinity
346, Infinity
1599, Infinity
1758, Infinity
1950, Infinity
1580, Infinity
284, Infinity
116, Infinity
2692, Infinity
2504, Infinity
1760, Infinity
2084, Infinity
829, Infinity
1898, Infinity
2061, Infinity
908, Infinity
1937, Infinity
2186, Infinity
2456, Infinity
264, Infinity
2340, Infinity
2531, Infinity
1290, Infinity
2907, Infinity
231, Infinity
1872, Infinity
2054, Infinity
2302, Infinity
2120, Infinity
673, Infinity
615, Infinity
2688, Infinity
2373, Infinity
1376, Infinity
272, Infinity
2479, Infinity
2440, Infinity
1493, Infinity
1337, Infinity
2379, Infinity
1812, Infinity
1700, Infinity
1678, Infinity
2265, Infinity
1719, Infinity
1589, Infinity
62, Infinity
1341, Infinity
974, Infinity
1301, Infinity
2404, Infinity
179, Infinity
632, Infinity
1248, Infinity
1097, Infinity
2052, Infinity
1325, Infinity
328, Infinity
83, Infinity
2033, Infinity
1714, Infinity
960, Infinity
2325, Infinity
1952, Infinity
687, Infinity
2887, Infinity
1851, Infinity
173, Infinity
170, Infinity
141, Infinity
2832, Infinity
2439, Infinity
712, Infinity
2762, Infinity
2856, Infinity
569, Infinity
2476, Infinity
2303, Infinity
1300, Infinity
2514, Infinity
2093, Infinity
2879, Infinity
2744, Infinity
646, Infinity
2507, Infinity
1917, Infinity
1815, Infinity
2673, Infinity
1211, Infinity
1326, Infinity
2444, Infinity
2032, Infinity
1820, Infinity
93, Infinity
2583, Infinity
714, Infinity
997, Infinity
1345, Infinity
1908, Infinity
1784, Infinity
1574, Infinity
1198, Infinity
1368, Infinity
1133, Infinity
986, Infinity
122, Infinity
2344, Infinity
1616, Infinity
920, Infinity
2528, Infinity
619, Infinity
215, Infinity
2792, Infinity
1615, Infinity
513, Infinity
55, Infinity
2386, Infinity
1136, Infinity
322, Infinity
2657, Infinity
756, Infinity
2003, Infinity
2909, Infinity
411, Infinity
717, Infinity
1702, Infinity
323, Infinity
906, Infinity
1028, Infinity
1666, Infinity
1142, Infinity
89, Infinity
531, Infinity
1533, Infinity
1514, Infinity
1647, Infinity
1193, Infinity
2180, Infinity
2754, Infinity
2075, Infinity
1902, Infinity
1056, Infinity
130, Infinity
2932, Infinity
598, Infinity
1440, Infinity
1098, Infinity
2724, Infinity
1095, Infinity
2547, Infinity
1590, Infinity
1320, Infinity
1213, Infinity
98, Infinity
424, Infinity
667, Infinity
2208, Infinity
1495, Infinity
600, Infinity
611, Infinity
1228, Infinity
1516, Infinity
2840, Infinity
2393, Infinity
2699, Infinity
2415, Infinity
2276, Infinity
1546, Infinity
2930, Infinity
2684, Infinity
2051, Infinity
694, Infinity
609, Infinity
2312, Infinity
2735, Infinity
781, 0.9
2730, 0.9
1560, Infinity
2013, Infinity
1920, Infinity
840, Infinity
390, Infinity
970, Infinity
2760, Infinity
605, Infinity
70, Infinity
1001, Infinity
1209, Infinity
1735, Infinity
2644, Infinity
262, Infinity
1551, Infinity
77, Infinity
1538, Infinity
1417, Infinity
1112, Infinity
2403, Infinity
1881, Infinity
1497, Infinity
648, Infinity
941, Infinity
659, Infinity
1990, Infinity
2537, Infinity
408, Infinity
2694, Infinity
2198, Infinity
716, Infinity
1797, Infinity
201, Infinity
2543, Infinity
1941, Infinity
814, Infinity
1447, Infinity
574, Infinity
68, Infinity
399, Infinity
676, Infinity
635, Infinity
894, Infinity
2660, Infinity
2258, Infinity
316, Infinity
686, Infinity
1118, 1.8
282, Infinity
1488, Infinity
777, Infinity
2902, Infinity
2132, Infinity
1421, Infinity
675, Infinity
961, Infinity
1435, Infinity
670, Infinity
711, Infinity
2240, Infinity
746, Infinity
2122, Infinity
153, Infinity
1905, Infinity
2753, Infinity
2943, Infinity
2286, Infinity
1281, Infinity
175, Infinity
2489, Infinity
1412, Infinity
1457, Infinity
449, Infinity
2646, Infinity
1004, Infinity
1705, Infinity
1854, Infinity
1691, Infinity
1328, Infinity
2865, Infinity
2890, Infinity
2239, Infinity
1305, Infinity
1572, Infinity
1710, Infinity
223, Infinity
1828, Infinity
509, Infinity
25, Infinity
645, Infinity
681, Infinity
1693, Infinity
1329, Infinity
2533, Infinity
2431, Infinity
847, Infinity
2233, Infinity
565, Infinity
2022, Infinity
718, Infinity
2643, Infinity
528, Infinity
