Fid, deborah_integration_delay 
401, Infinity
346, Infinity
1260, Infinity
726, Infinity
1409, Infinity
992, Infinity
1244, Infinity
139, Infinity
444, Infinity
1092, Infinity
345, Infinity
862, Infinity
1323, Infinity
1155, Infinity
479, Infinity
567, Infinity
522, Infinity
274, Infinity
1405, Infinity
817, Infinity
689, Infinity
581, Infinity
189, Infinity
1121, Infinity
223, Infinity
71, Infinity
85, Infinity
1085, Infinity
874, Infinity
429, Infinity
1142, Infinity
818, Infinity
1031, Infinity
7, Infinity
1255, Infinity
206, Infinity
43, Infinity
1359, Infinity
977, Infinity
21, Infinity
1364, Infinity
802, Infinity
1258, Infinity
1396, Infinity
902, Infinity
686, Infinity
809, Infinity
133, Infinity
462, Infinity
848, Infinity
786, Infinity
1298, Infinity
1153, Infinity
425, Infinity
1429, Infinity
524, Infinity
1440, Infinity
419, Infinity
1079, Infinity
1112, Infinity
746, Infinity
945, Infinity
640, Infinity
892, Infinity
538, Infinity
266, Infinity
220, Infinity
1398, Infinity
207, Infinity
690, Infinity
724, Infinity
1381, Infinity
566, Infinity
1435, Infinity
331, Infinity
1193, Infinity
889, Infinity
1444, Infinity
645, Infinity
519, Infinity
204, Infinity
1329, Infinity
108, Infinity
955, Infinity
789, Infinity
52, Infinity
1358, Infinity
1231, Infinity
521, Infinity
216, Infinity
509, Infinity
578, Infinity
1189, Infinity
442, Infinity
1052, Infinity
1368, Infinity
537, Infinity
1044, Infinity
844, Infinity
480, Infinity
1223, Infinity
123, Infinity
1086, Infinity
636, Infinity
1302, Infinity
1133, Infinity
800, Infinity
1361, Infinity
1293, Infinity
199, Infinity
738, Infinity
1331, Infinity
432, Infinity
1077, Infinity
506, Infinity
550, Infinity
771, Infinity
854, Infinity
619, Infinity
1455, Infinity
905, Infinity
1273, Infinity
212, Infinity
158, Infinity
1101, Infinity
923, Infinity
1005, Infinity
17, Infinity
428, Infinity
775, Infinity
1303, Infinity
1236, Infinity
209, Infinity
184, Infinity
890, Infinity
608, Infinity
722, Infinity
23, Infinity
756, Infinity
26, Infinity
984, 1.48
456, Infinity
300, Infinity
1212, Infinity
999, Infinity
921, Infinity
76, Infinity
13, Infinity
734, Infinity
1353, Infinity
260, Infinity
276, Infinity
925, Infinity
1191, Infinity
1224, Infinity
146, Infinity
976, Infinity
1090, Infinity
742, Infinity
1436, Infinity
855, Infinity
112, Infinity
486, Infinity
919, Infinity
847, Infinity
1017, Infinity
44, Infinity
616, Infinity
794, Infinity
1126, Infinity
667, Infinity
646, Infinity
1308, Infinity
1400, Infinity
563, Infinity
1119, Infinity
150, Infinity
764, Infinity
130, Infinity
238, Infinity
760, Infinity
1452, Infinity
715, Infinity
12, Infinity
1367, Infinity
1425, Infinity
294, Infinity
264, Infinity
361, Infinity
1242, Infinity
36, Infinity
469, Infinity
132, Infinity
471, Infinity
655, Infinity
981, Infinity
533, Infinity
481, Infinity
942, Infinity
1434, Infinity
440, Infinity
596, Infinity
1010, Infinity
1266, Infinity
505, Infinity
0, Infinity
243, Infinity
1448, Infinity
951, Infinity
337, Infinity
705, Infinity
1159, Infinity
845, Infinity
1105, Infinity
1183, Infinity
1197, Infinity
332, Infinity
149, Infinity
1229, Infinity
930, Infinity
1192, Infinity
926, Infinity
362, Infinity
1321, 0.9
599, Infinity
1102, Infinity
138, Infinity
1271, Infinity
628, Infinity
1382, Infinity
964, Infinity
559, Infinity
752, Infinity
64, Infinity
172, Infinity
865, Infinity
788, Infinity
710, Infinity
95, Infinity
