Fid, deborah_integration_delay 
215, Infinity
203, Infinity
130, Infinity
283, 1.225
76, Infinity
326, Infinity
460, Infinity
9, Infinity
150, Infinity
349, Infinity
334, Infinity
109, Infinity
279, Infinity
263, Infinity
289, 1.125385
11, Infinity
396, Infinity
304, Infinity
66, Infinity
154, Infinity
193, Infinity
138, Infinity
1, Infinity
436, Infinity
247, Infinity
176, Infinity
294, Infinity
201, Infinity
34, Infinity
135, Infinity
427, Infinity
217, Infinity
78, Infinity
409, Infinity
366, Infinity
321, Infinity
258, Infinity
459, Infinity
220, Infinity
273, Infinity
86, Infinity
197, Infinity
133, Infinity
314, Infinity
378, Infinity
322, Infinity
328, Infinity
204, Infinity
282, Infinity
462, Infinity
368, Infinity
262, Infinity
330, Infinity
173, 1.225
142, Infinity
110, Infinity
448, Infinity
345, Infinity
56, Infinity
457, Infinity
158, Infinity
340, Infinity
332, Infinity
221, Infinity
71, Infinity
245, Infinity
126, 1.3125
210, Infinity
398, Infinity
77, Infinity
84, Infinity
180, Infinity
18, Infinity
379, Infinity
101, Infinity
431, Infinity
89, Infinity
196, Infinity
25, Infinity
468, Infinity
115, Infinity
469, Infinity
179, Infinity
403, Infinity
259, Infinity
419, Infinity
386, Infinity
21, 0.7
39, Infinity
233, Infinity
152, Infinity
261, Infinity
206, Infinity
148, Infinity
192, Infinity
338, Infinity
30, Infinity
54, Infinity
167, Infinity
269, Infinity
351, Infinity
213, Infinity
444, Infinity
301, Infinity
186, Infinity
53, Infinity
369, Infinity
284, Infinity
256, Infinity
50, Infinity
90, Infinity
134, Infinity
211, Infinity
47, Infinity
455, Infinity
356, Infinity
420, Infinity
12, Infinity
137, Infinity
441, Infinity
442, Infinity
236, Infinity
177, Infinity
306, Infinity
248, Infinity
401, Infinity
290, Infinity
232, Infinity
354, Infinity
270, Infinity
118, Infinity
222, Infinity
286, Infinity
311, Infinity
463, Infinity
402, Infinity
65, Infinity
48, Infinity
392, Infinity
229, Infinity
123, Infinity
361, Infinity
16, Infinity
185, Infinity
333, Infinity
42, Infinity
266, Infinity
389, Infinity
216, Infinity
128, Infinity
416, Infinity
407, Infinity
307, Infinity
382, Infinity
31, Infinity
440, Infinity
415, Infinity
37, 1.225
467, Infinity
32, Infinity
265, Infinity
151, Infinity
188, Infinity
325, Infinity
260, Infinity
