Fid, TFA_D, SFA_D, PMOO_D, TMA_D
1214, null, null,null,54.92009414128767
741, null, null,null,77.45887961664738
7, null, null,null,69.63628367869308
1337, null, null,null,30.029782709705106
2485, null, null,null,97.6329724523486
1301, null, null,null,40.848294311644445
1519, null, null,null,112.79809587611533
175, null, null,null,49.24186374275969
1824, null, null,null,49.73274253977304
2440, null, null,null,72.2278566414015
2147, null, null,null,97.07107525640907
1336, null, null,null,68.46803752647963
863, null, null,null,60.17890016843151
1679, null, null,null,71.09743348948577
2369, null, null,null,83.22533829044663
2184, null, null,null,71.72561135377633
2791, null, null,null,48.21578722985064
1102, null, null,null,150.1820815244418
1108, null, null,null,98.75040421796093
1395, null, null,null,58.98230658552606
615, null, null,null,64.33257040862131
2940, null, null,null,49.51567583076991
963, null, null,null,122.01667342890902
1654, null, null,null,72.5277145223026
1425, null, null,null,83.43945065993915
160, null, null,null,90.02104307635403
1297, null, null,null,69.84536848178365
1923, null, null,null,97.52252821238362
861, null, null,null,62.46153286001716
918, null, null,null,21.044280344738617
1508, null, null,null,111.08150363271888
1492, null, null,null,83.69911475537106
29, null, null,null,98.51366993940947
1680, null, null,null,90.57708128125596
2823, null, null,null,12.914354066985645
17, null, null,null,92.49789329363762
2173, null, null,null,49.83048226753819
2843, null, null,null,63.44029973906221
2168, null, null,null,110.87826571307565
440, null, null,null,118.69687956935618
1963, null, null,null,98.49893085068584
1039, null, null,null,94.33311071445644
2528, null, null,null,77.37545220766383
2101, null, null,null,107.03380580180223
958, null, null,null,79.59654199003748
666, null, null,null,119.6938838375468
2864, null, null,null,103.38754917680416
904, null, null,null,67.18405475949942
778, null, null,null,73.64751208139799
2710, null, null,null,88.34590343818742
760, null, null,null,93.97902248917845
1131, null, null,null,77.81936303875197
1006, null, null,null,70.14656655357948
1900, null, null,null,58.23623808826207
1273, null, null,null,54.81334765952945
792, null, null,null,53.12396159101507
1223, null, null,null,109.59470423780516
2783, null, null,null,67.42509426646593
2540, null, null,null,77.24354268773764
2804, null, null,null,75.54082541377561
858, null, null,null,70.27699058188189
1584, null, null,null,70.28201520897073
1203, null, null,null,18.67541929544396
746, null, null,null,64.3652296719529
1403, null, null,null,49.73274253977304
770, null, null,null,79.07405932354023
1486, null, null,null,58.49374649627778
2850, null, null,null,87.14383608731028
265, null, null,null,133.7412758167401
1127, null, null,null,97.58378643455872
565, null, null,null,129.23456409572938
236, null, null,null,80.71473769721143
2187, null, null,null,144.33175707675122
1199, null, null,null,67.46744971171364
1119, null, null,null,48.21578722985064
2533, null, null,null,118.24420153397577
2599, null, null,null,64.38314538771829
1869, null, null,null,82.28616312492413
889, null, null,null,75.25772368285462
560, null, null,null,69.58756350472926
2947, null, null,null,72.6331171562563
89, null, null,null,51.264655885803805
1434, null, null,null,91.24631304739167
2724, null, null,null,91.8088232049021
1070, null, null,null,125.85576572379699
2944, null, null,null,97.20574858475318
2334, null, null,null,125.42812076566302
2548, null, null,null,60.38448740242793
599, null, null,null,89.1506113755694
200, null, null,null,17.99975548892535
2405, null, null,null,18.414355694990046
189, null, null,null,13.361925952909202
2003, null, null,null,82.60586157523602
427, null, null,null,74.76325948491134
2396, null, null,null,116.77691169311385
60, null, null,null,77.00210642107074
1475, null, null,null,105.79180339560928
2898, null, null,null,36.15777232990161
947, null, null,null,68.2500924524858
2879, null, null,null,81.99615998946977
74, null, null,null,59.14338981578378
1104, null, null,null,43.08027615771832
941, null, null,null,66.12424301541739
1406, null, null,null,76.60317293407851
1529, null, null,null,96.27904821533468
1883, null, null,null,61.01231222096422
385, null, null,null,76.08320083668231
496, null, null,null,86.81670261154582
1052, null, null,null,46.086569795893205
