Fid, TFA_D, SFA_D, TMA_D, PMOO_D
313, 98.99999999999918, 6.537735849056601, 6.537735849056601, 6.537735849056601
41, 7071.393867016779, 2220.3104102879124, 2070.1654115147626, 2535.730501381407
147, 7401.669979121375, 2219.7259196272385, 2063.588038357437, 2589.267459058157
425, 14347.64282905385, 1711.7018460004335, 586.7197544073683, 622.6929724426461
257, 493.06410116266454, 38.024187926302034, 38.024187926302034, 40.98692296040619
162, 98.99999999999933, 11.49107142857142, 11.49107142857142, 11.49107142857142
263, 53908.65339696656, 8371.101335276058, 4032.388647305268, 4051.308646602788
282, 19354.104415471313, 3977.823572252322, 3410.7502712707624, 4143.64399767648
287, 70669.1786041965, 10391.107545550434, 4825.388147492638, 5425.872842419188
267, 18789.119007663605, 5306.78995013752, 4652.030261416392, 4694.312794832212
130, 3110.594248924743, 217.2805399648826, 181.92268102355408, 181.9226810235541
134, 1447.7425504092807, 474.7016764215286, 390.5620163131282, 390.5620163131283
51, 101126.25044511643, 13571.921150746959, 8729.397009225087, 9451.25905577638
105, 21246.580919829605, 2238.860872388142, 1172.31777876396, 1178.2186149058289
9, 791.2585721352846, 306.2299580193092, 300.7182642290385, 451.90399921551136
285, 14090.232573938225, 1742.1589537884365, 549.2451024854578, 549.2451024854578
177, 953.5099274430556, 338.1247286029342, 331.402720128079, 455.96870730610624
10, 9686.912277329531, 2152.7172922649684, 1379.8993957744713, 1385.2761087356294
277, 22746.005173744757, 5189.019026854553, 3488.79530153347, 4039.109437960414
427, 768.809249745517, 305.3400499710772, 299.82835618080645, 440.2714898820195
399, 14236.466276744464, 4531.485744215661, 4273.37209491165, 5782.410492887384
433, 99.00000000000028, 8.250000000000002, 8.250000000000002, 8.250000000000002
281, 4118.395610976108, 413.02309271164506, 249.81195854645094, 249.81195854645094
11, 20813.30160493598, 2053.766771377733, 797.3636112944095, 803.2644474362785
167, 6083.048685346903, 1001.8357399733894, 401.6703815888363, 401.67038158883634
226, 2485.8642390901236, 500.63986465201293, 480.02198062566276, 560.70387675769
87, 768.809249745517, 299.3295545364044, 293.8178607461336, 473.0195860511765
362, 29263.002431482433, 4497.53939946806, 3992.5313264982597, 4440.56983040662
102, 2918.745998487202, 244.97329458938006, 118.08217574997461, 118.08217574997461
140, 43215.24603571238, 6319.89812592334, 4800.88472552583, 5791.485463759851
157, 11563.612499822908, 1509.2145867461693, 974.4207762711271, 1033.382304993558
202, 53908.65339696656, 8371.101335276058, 4032.388647305268, 4051.308646602788
366, 9169.251399618108, 2152.3077685178732, 1775.3686241710782, 1805.1676165789418
103, 1811.8032615280913, 535.4839651597501, 321.32462290471534, 321.32462290471534
407, 5561.076443741076, 1533.291967705754, 1464.5525067505007, 1925.9289936704286
447, 2023.7350312509059, 524.6646482306732, 324.076663853145, 348.63538909838775
240, 20326.411126372244, 6451.662449456676, 4318.3030471281245, 5800.517626047372
95, 3017.745998487202, 248.86187385315773, 108.22955750673137, 108.22955750673137
14, 210074.39455368574, 11827.915292317623, 7073.635899676293, 7806.397739730737
68, 54007.65339696656, 8363.849277822645, 4033.8874827089944, 4161.057028718416
71, 9099.487751951532, 2141.5850553950922, 1847.8715265752662, 1976.6817031011994
15, 1447.7425504092807, 474.7016764215286, 390.5620163131282, 390.5620163131283
437, 890.2585721352837, 310.817786920475, 301.15031696023914, 477.5321388780216
400, 14256.53132095291, 4534.47392459748, 4276.451361107799, 5782.2330370085865
29, 4333.9398000911215, 1418.9065199571592, 1351.6672986914348, 2019.6796811937572
190, 3550.629478268492, 422.08741113264836, 242.03916953905585, 249.41038900151796
338, 768.809249745517, 299.3295545364044, 293.8178607461336, 473.0195860511765
442, 9686.912277329531, 2152.7172922649684, 1379.8993957744713, 1385.2761087356294
197, 17396.15906569186, 1587.6452640016944, 1529.6194913144966, 1536.1018820596576
417, 24079.037901253283, 6423.663806222966, 3585.393033150586, 3602.5343548355545
295, 16724.573828976132, 1207.4388594684183, 1035.9127119086068, 1035.9127119086065
137, 54140.650210897824, 8372.151361233655, 4033.599904342708, 4307.8077124858955
423, 14123.53450702165, 4517.346724863148, 4264.014791977047, 5789.538391699875
38, 101994.76769278263, 13610.034216774162, 8742.358991834124, 9902.535335831364
323, 17312.05138266976, 5069.38380795974, 4795.171780412788, 5586.2608693763395
34, 6574.525020273615, 226.96335547171148, 184.12833152076445, 187.83005221256315
469, 3609.148080973997, 528.9268739358423, 481.85165822004404, 481.85165822004404
59, 99.00000000000067, 7.401869158878508, 7.401869158878508, 7.401869158878508
30, 54041.650210897824, 8379.078614397677, 4033.7857530494857, 4052.7057523470053
292, 6069.1169156240885, 1028.8440778237339, 426.8056936543663, 432.1773813610908
354, 579.4172831075132, 95.29231744970603, 95.29231744970603, 102.59007357643937
414, 306.7489824408535, 33.162052155768095, 33.162052155768095, 33.162052155768095
332, 4079.6768628836867, 641.5429176125856, 616.2165640674417, 711.1716847414913
225, 3991.807447149943, 1407.813575599384, 1351.051362836176, 1840.7923590683313
463, 5565.762475813575, 886.1173526427696, 507.6176010001299, 520.1002297260361
138, 8978.038429561766, 2143.5228008120457, 1857.2410274537428, 1971.651423577632
8, 4722.0083788944685, 772.1298819717247, 368.0466211452334, 374.22925952287403
213, 7256.0945447143185, 2230.302801341352, 2047.5056475647982, 2555.370732653896
143, 1011.2882230896931, 103.17368258460357, 72.42209015205542, 72.42209015205542
364, 306.7489824408535, 33.162052155768095, 33.162052155768095, 33.162052155768095
129, 1910.8032615280906, 523.8898521968997, 320.88786661637107, 360.43628570161655
224, 23836.559207346243, 6648.7422112772365, 4550.581729558232, 5033.714214461088
217, 4412.929791851817, 894.0592330781592, 508.5630189153065, 508.5630189153065
182, 8411.720920872234, 2054.001414328255, 1709.08067241581, 1802.5631550290389
120, 3117.4033889049797, 200.10994071360182, 150.8788973047152, 150.87889730471517
2, 1910.803261528091, 535.8098953819858, 325.8871513187737, 367.60960732578343
53, 87574.99581554916, 9883.219698116593, 5050.20701014751, 6248.996727282052
187, 8411.720920872234, 2054.001414328255, 1709.08067241581, 1802.5631550290389
150, 56511.72189684908, 6612.572865010777, 5085.254750037089, 6081.9567815555965
382, 6781.231708425728, 1025.390428808954, 683.5851253543815, 689.0824855207379
195, 953.5099274430556, 338.1247286029342, 331.402720128079, 455.96870730610624
83, 70655.24683447368, 10406.193496727514, 4828.43859760362, 5667.20830536455
39, 13892.232573938225, 1788.0584693048133, 583.2421508581409, 583.2421508581408
349, 43215.24603571238, 6319.290492846675, 4800.277092449164, 6072.09673851113
222, 1546.7425504092816, 477.52414864239364, 395.0064545534108, 474.73018768104345
286, 3017.745998487202, 248.86187385315773, 108.22955750673137, 108.22955750673137
432, 22746.005173744757, 5189.019026854553, 3488.79530153347, 4039.109437960414
383, 6286.8826555954, 1009.6004450406579, 804.078235025747, 926.75398992998
135, 1910.8032615280915, 540.0174327304538, 327.86919654812624, 383.90626254359614
45, 102523.04380488722, 13499.868248524563, 8718.928423773574, 9673.287587428635
345, 1924.7350312509056, 539.5962478188549, 327.43018352188216, 327.4301835218821
343, 11965.167021176534, 1485.3350835875654, 966.3242294709204, 990.1806306336392
153, 3851.626774881037, 1391.5554799570273, 1334.793267193819, 1341.9304448829357
69, 4412.929791851817, 894.0592330781592, 508.5630189153065, 508.5630189153065
440, 54007.65339696656, 8368.58080852021, 4033.0094667032613, 4479.9955078928715
25, 14236.466276744464, 4531.8735595800445, 4278.541626693944, 6067.282557159461
173, 483.4660194174791, 11.263427785478852, 7.841584158415842, 7.841584158415842
70, 4234.9398000911215, 1416.379502528623, 1352.7375295272702, 2019.5100638322494
212, 14347.269139240681, 1055.3217949382179, 499.7925431476134, 499.7925431476134
164, 4089.7599411394185, 454.6060112152082, 209.77008676021595, 209.7700867602159
97, 2654.34267778617, 151.6767244449247, 151.6767244449247, 151.6767244449247
67, 8978.038429561766, 2147.5294775558923, 1861.3278943341707, 1971.5250801576271
170, 70655.24683447368, 10405.776209412039, 4825.270268226758, 6048.181401325287
376, 2918.745998487202, 244.97329458938006, 118.08217574997461, 118.08217574997461
468, 19632.645430042277, 3984.5974434530417, 3411.70044215291, 3901.8018622223135
465, 21287.141344094773, 6556.761186738713, 4410.145953251533, 5289.622019313169
273, 9479.302782086408, 1100.2762157778932, 959.8863784168882, 959.8863784168882
317, 98.99999999999918, 6.537735849056601, 6.537735849056601, 6.537735849056601
306, 93777.87243489976, 8917.119585268896, 5046.438685397847, 5225.132866985952
301, 768.8092497455157, 302.7447208817224, 297.2330270914517, 452.0854858635351
351, 17873.151546533485, 1640.4130428574956, 1514.1678683431928, 1524.1208388970283
470, 70655.24683447368, 10403.656101258668, 4824.197717561016, 5606.442304560413
232, 3609.148080973997, 528.9268739358423, 481.85165822004404, 481.85165822004404
386, 1225.5494978893503, 99.7658429375622, 70.54230541677006, 70.54230541677006
375, 5098.173333064167, 438.41231626385326, 260.697806108499, 260.69780610849904
275, 14256.53132095291, 4532.108628404116, 4278.776695518016, 6008.097822033006
403, 14123.53450702165, 4515.664815112946, 4262.332882226845, 6129.509508166648
201, 9909.998250703664, 762.5797681514777, 660.736360361276, 662.9378428410604
339, 953.5099274430556, 338.1247286029342, 331.402720128079, 455.96870730610624
380, 6289.305248417837, 524.108770701485, 490.5371256819173, 490.5371256819173
