Fid, TFA_D, SFA_D, PMOO_D, TMA_D
1214, null, null,null,17.130979232252574
741, null, null,null,22.535842125116755
7, null, null,null,19.676992184461355
1337, null, null,null,10.265271863264342
2485, null, null,null,31.231426048462723
1301, null, null,null,11.44421624879703
1519, null, null,null,35.45772422006204
175, null, null,null,13.771865038409818
1824, null, null,null,14.848653610084876
2440, null, null,null,21.376862245754964
2147, null, null,null,32.59248179595599
1336, null, null,null,27.248173443520592
863, null, null,null,18.155467348763665
1679, null, null,null,21.845083432507924
2369, null, null,null,25.514684927395603
2184, null, null,null,20.672032568929904
2791, null, null,null,13.452260300567959
1102, null, null,null,47.544239324577006
1108, null, null,null,29.58167885444192
1395, null, null,null,16.573170313581127
615, null, null,null,20.650283155776798
2940, null, null,null,14.37024457260078
963, null, null,null,37.79601645432345
1654, null, null,null,21.13310885989086
1425, null, null,null,25.12038482192543
160, null, null,null,31.111038935823146
1297, null, null,null,20.113240685838093
1923, null, null,null,28.37344174215956
861, null, null,null,23.27500401726671
918, null, null,null,8.458869905844098
1508, null, null,null,36.97761758903134
1492, null, null,null,26.284088226923526
29, null, null,null,30.818942279914534
1680, null, null,null,30.228208874489116
2823, null, null,null,5.003236701379115
17, null, null,null,26.478864393117878
2173, null, null,null,16.94951599125127
2843, null, null,null,18.237602362350625
2168, null, null,null,35.121583422411526
440, null, null,null,38.09445335986095
1963, null, null,null,30.6208832346062
1039, null, null,null,29.03941612205854
2528, null, null,null,21.821243694354173
2101, null, null,null,32.44742576441426
958, null, null,null,24.41803909023349
666, null, null,null,35.38511841304931
2864, null, null,null,32.30808052170432
904, null, null,null,22.274514411689854
778, null, null,null,21.16100815699202
2710, null, null,null,26.14132065716541
760, null, null,null,29.86267420926148
1131, null, null,null,27.624214488520085
1006, null, null,null,20.239790423436126
1900, null, null,null,16.79208854515217
1273, null, null,null,15.284908988861716
792, null, null,null,14.739354574399782
1223, null, null,null,31.058286836244285
2783, null, null,null,18.90925590801588
2540, null, null,null,21.831063693328527
2804, null, null,null,22.071825858283308
858, null, null,null,24.11121064075108
1584, null, null,null,22.889768253959677
1203, null, null,null,12.39835286965115
746, null, null,null,18.73982869895247
1403, null, null,null,14.848653610084876
770, null, null,null,22.673504683632075
1486, null, null,null,16.842976560109964
2850, null, null,null,29.473611414101857
265, null, null,null,43.05849001456698
1127, null, null,null,32.273391317841366
565, null, null,null,48.40241135006397
236, null, null,null,25.81863812925184
2187, null, null,null,49.08573980671172
1199, null, null,null,19.795563199080245
1119, null, null,null,13.452260300567959
2533, null, null,null,39.53521808021493
2599, null, null,null,18.89012254500834
1869, null, null,null,25.598531697509845
889, null, null,null,33.69079217213691
560, null, null,null,19.849185511783066
2947, null, null,null,20.480122612406586
89, null, null,null,14.317920345465417
1434, null, null,null,26.698956211620068
2724, null, null,null,29.74704735814917
1070, null, null,null,37.539848237052865
2944, null, null,null,30.83295160943409
2334, null, null,null,38.8079403708965
2548, null, null,null,17.507496905051013
599, null, null,null,25.732867325165653
200, null, null,null,9.768341539990411
2405, null, null,null,6.420330912812621
189, null, null,null,6.260781560280144
2003, null, null,null,24.875496213803174
427, null, null,null,22.296321624838992
2396, null, null,null,42.063043908796665
60, null, null,null,24.59179976649552
1475, null, null,null,34.97726662669096
2898, null, null,null,9.564577113775435
947, null, null,null,23.63155600705728
2879, null, null,null,23.069560232814318
74, null, null,null,16.619446572694386
1104, null, null,null,12.143057875257497
941, null, null,null,18.63253355267085
1406, null, null,null,21.968293665486254
1529, null, null,null,30.348836316319627
1883, null, null,null,17.774033699018478
385, null, null,null,23.527137414674627
496, null, null,null,26.931261845760112
1052, null, null,null,14.559226947542125
2541, null, null,null,29.394518499670315
127, null, null,null,4.69697041906843
1571, null, null,null,28.205793858699703
2115, null, null,null,30.5895361109493
1738, null, null,null,31.94932328243349
635, null, null,null,21.71741989004188
2914, null, null,null,18.933990045847636
2314, null, null,null,36.52447943951569
321, null, null,null,31.904178099627373
1361, null, null,null,29.87966245569579
1861, null, null,null,32.716020835139574
2366, null, null,null,11.703462006601017
2491, null, null,null,26.999513774041297
377, null, null,null,22.48191530599434
1759, null, null,null,66.26999967042934
534, null, null,null,14.592580944197733
1204, null, null,null,22.688486178185098
2713, null, null,null,23.654318437499473
744, null, null,null,25.922724632063517
501, null, null,null,21.831063693328527
460, null, null,null,57.45930756537162
1142, null, null,null,48.03655032573297
1227, null, null,null,20.293685326869028
1496, null, null,null,26.683770824220122
1480, null, null,null,29.80405120708443
2425, null, null,null,26.655199902639428
2415, null, null,null,65.59685257799764
1157, null, null,null,15.892812488098292
1189, null, null,null,21.389665419168033
262, null, null,null,21.954512828404916
1193, null, null,null,24.46157395915084
1267, null, null,null,14.049469110052867
1592, null, null,null,13.526810522027846
471, null, null,null,24.381954815124104
441, null, null,null,31.02172494121225
2446, null, null,null,27.099421331304256
1678, null, null,null,13.386897878922829
2344, null, null,null,29.213856869683685
2477, null, null,null,24.500519175220617
3, null, null,null,25.48490648550967
2808, null, null,null,30.260290727977182
1115, null, null,null,46.190402877517016
2768, null, null,null,16.617758374742923
233, null, null,null,13.039845538804709
1393, null, null,null,35.86902460912683
2691, null, null,null,27.874918168365507
898, null, null,null,10.95232920420976
1430, null, null,null,30.271874881635398
2677, null, null,null,28.84673045034863
631, null, null,null,21.168688654018787
2520, null, null,null,28.51147800307766
578, null, null,null,35.218392998751774
2209, null, null,null,35.481297917699905
1629, null, null,null,13.89012434375454
576, null, null,null,28.179365131957816
1976, null, null,null,29.432148542765866
2670, null, null,null,24.360371845859234
474, null, null,null,41.1994622700575
2556, null, null,null,13.460649002706473
1994, null, null,null,23.804478055916977
1240, null, null,null,22.72764168963278
1277, null, null,null,34.59129241248301
2532, null, null,null,37.03552436632433
222, null, null,null,22.18898289813825
1075, null, null,null,21.238990817308945
117, null, null,null,32.17939348614242
1899, null, null,null,16.96252351755682
106, null, null,null,28.74166178866015
859, null, null,null,31.927285662638283
2913, null, null,null,34.29217694944148
1538, null, null,null,23.35797778552083
2526, null, null,null,30.98180442006943
2516, null, null,null,20.293685326869028
2262, null, null,null,23.67942855387831
2633, null, null,null,25.616290224136378
2688, null, null,null,16.07100037530163
2600, null, null,null,11.614834274834081
2471, null, null,null,38.50381351829993
2550, null, null,null,18.852132109675896
2617, null, null,null,36.63156571614792
1037, null, null,null,15.871166611074322
1243, null, null,null,25.307363343962233
2473, null, null,null,26.999513774041297
1885, null, null,null,32.44383313721514
2542, null, null,null,10.55890248102646
1, null, null,null,27.604045134888167
583, null, null,null,28.241646972221666
1915, null, null,null,28.785342089547747
345, null, null,null,31.050619323644337
1563, null, null,null,25.536527158983752
1770, null, null,null,19.849185511783066
1436, null, null,null,34.65743785995592
381, null, null,null,24.919659221850548
1027, null, null,null,6.118427381025713
1213, null, null,null,37.03662326873723
2590, null, null,null,48.5257914850504
1431, null, null,null,15.683641809418909
2644, null, null,null,14.958469340097295
31, null, null,null,35.878488528025116
1836, null, null,null,43.99745476726618
1383, null, null,null,35.000991327624945
2160, null, null,null,24.440536965777017
1003, null, null,null,29.06305350280397
2047, null, null,null,14.263419008976397
252, null, null,null,31.162405623843974
1118, null, null,null,3.072782021151586
2000, null, null,null,30.411784682064727
1462, null, null,null,16.66938762076095
0, null, null,null,14.608524921633313
517, null, null,null,26.112419935882354
1025, null, null,null,25.833738814447624
1005, null, null,null,24.394656682536933
2192, null, null,null,17.763098732216484
714, null, null,null,20.638142766926787
2613, null, null,null,46.02997345868718
739, null, null,null,38.037525804351645
2062, null, null,null,32.631853884678634
2463, null, null,null,25.399904878558964
2414, null, null,null,26.358388579081904
126, null, null,null,26.000890298606084
1305, null, null,null,27.200185318830123
2089, null, null,null,21.435846228386126
1989, null, null,null,19.110708074593287
2009, null, null,null,20.301896241785503
1215, null, null,null,17.774033699018478
825, null, null,null,42.88552375742154
2134, null, null,null,38.58130931855392
2771, null, null,null,11.86709266970104
932, null, null,null,2.3470588235294114
1756, null, null,null,18.975114194712255
468, null, null,null,3.8570892360658764
32, null, null,null,13.593901517667584
380, null, null,null,11.472944648066395
1851, null, null,null,17.03198921747224
2475, null, null,null,30.400297654820818
557, null, null,null,18.8513413615027
1683, null, null,null,38.26572171385641
900, null, null,null,43.328604471166074
870, null, null,null,30.700512600560064
2796, null, null,null,17.815045623917122
2694, null, null,null,24.04090041063382
740, null, null,null,18.184652740881578
1598, null, null,null,25.79131143652687
1140, null, null,null,31.134200111297538
2493, null, null,null,24.50647975989236
789, null, null,null,23.10432161517941
518, null, null,null,25.84194449845171
2274, null, null,null,11.649348687379495
2544, null, null,null,14.702390120019098
2736, null, null,null,4.056899663431051
1288, null, null,null,26.876239739617496
1345, null, null,null,2.0917159763313604
367, null, null,null,13.460649002706473
1996, null, null,null,14.628079629823132
539, null, null,null,18.213291921568633
112, null, null,null,19.53039092625019
695, null, null,null,16.56484830406858
1694, null, null,null,30.031850504621932
2524, null, null,null,20.93054611990227
130, null, null,null,13.768351055213062
2058, null, null,null,23.27500401726671
304, null, null,null,18.020914449809336
1889, null, null,null,43.8881942324017
2059, null, null,null,30.937854952728078
2377, null, null,null,31.058286836244285
1034, null, null,null,27.307393240200476
1728, null, null,null,24.645785424288015
2432, null, null,null,12.637924198297647
1422, null, null,null,12.98616892417412
1491, null, null,null,29.424279241461083
96, null, null,null,28.624044732695353
153, null, null,null,19.073082002159705
