Fid, TFA_D, SFA_D, PMOO_D, TMA_D
466, null, null,null,67.31527801805058
529, null, null,null,60.45661031414292
259, null, null,null,59.54904728893284
191, null, null,null,3.6634615384615374
1272, null, null,null,57.32653038936558
1453, null, null,null,8.148305084745765
871, null, null,null,46.19546607369744
1398, null, null,null,27.581213460820297
460, null, null,null,55.26357617741345
1394, null, null,null,40.790053085272824
214, null, null,null,145.61483652557442
1217, null, null,null,82.02522419720681
196, null, null,null,67.9942588879261
774, null, null,null,63.8517652278489
137, null, null,null,25.80485771071701
1129, null, null,null,53.932074798345795
1336, null, null,null,89.46632540560078
519, null, null,null,75.72197661514294
1162, null, null,null,73.18131515451567
99, null, null,null,67.12761290807867
347, null, null,null,10.471528977946367
1138, null, null,null,39.09305290254253
805, null, null,null,56.80847679536623
560, null, null,null,44.861502132179574
536, null, null,null,56.58051175287429
264, null, null,null,15.530529111334024
561, null, null,null,117.37178169052505
74, null, null,null,66.86754466028555
719, null, null,null,82.12267447080497
1360, null, null,null,16.27874760083229
305, null, null,null,49.057191220377966
1152, null, null,null,39.110923789216145
405, null, null,null,81.10979298188654
409, null, null,null,54.071447716905666
937, null, null,null,5.318181818181821
1135, null, null,null,35.67537643301261
1285, null, null,null,53.55906485816005
535, null, null,null,43.08638439050243
819, null, null,null,40.16292699408611
1280, null, null,null,18.967550794945243
1440, null, null,null,39.46394411185218
41, null, null,null,100.90462337462473
287, null, null,null,73.77691064259355
1320, null, null,null,92.18809358844979
556, null, null,null,46.913242424630646
1326, null, null,null,51.77190380432843
77, null, null,null,45.633608085065994
1207, null, null,null,18.057500308147414
1179, null, null,null,46.6783633947383
1443, null, null,null,57.83443874045032
739, null, null,null,54.695332911864774
318, null, null,null,46.913242424630646
967, null, null,null,4.7368421052631575
716, null, null,null,114.17975655225439
697, null, null,null,72.5516140406092
622, null, null,null,171.6983131030126
1409, null, null,null,33.91888752359497
479, null, null,null,59.544743930426094
654, null, null,null,43.36160085274154
